generation,gain_enemy_2,kill_enemy_2,sigma_0,sigma_1,sigma_2,sigma_3
0,-95.0,0.0,0.1299482553338268,0.29958966209508264,0.11944223788435263,0.27841817265195007
0,-100.0,0.0,0.16620269390081502,0.29466391310215617,0.24714159821935844,0.019713329920724554
0,-100.0,0.0,0.0993325704012787,0.19855617686025054,0.01296313537947189,0.21738957085177185
0,25.0,0.75,0.10052344007152812,0.16567870034015475,0.23540928095882419,0.25734825438923636
0,-100.0,0.0,0.21972763848166532,0.03475786379534337,0.28385339119211433,0.17169891814974036
0,-100.0,0.0,0.1757939105504982,0.04522262746551368,0.0847356667256705,0.2620126436154757
0,74.0,1.0,0.1537978800753397,0.013768711906859065,0.15270629717660014,0.2878362870850003
0,-100.0,0.0,0.09820072176713157,0.06311523282503913,0.07800085191818176,0.12184921019687443
0,-100.0,0.0,0.11805674647320796,0.0006691165883417005,0.15685205996734425,0.10154041994710317
0,7.5,0.5,0.2316768598027255,0.11053649678722129,0.07586288121122317,0.2035249290346277
0,-100.0,0.0,0.1777829584718278,0.06587220347766944,0.03449988980155889,0.2581945768600128
0,-77.5,0.0,0.19160289589228666,0.08261488088317319,0.04200712998641731,0.05613198121657884
0,-16.0,0.25,0.059137495417362025,0.09011254634211496,0.25730782060178525,0.1261154096350409
0,-62.5,0.0,0.19399336246654222,0.06138239670281687,0.0723477888855852,0.2476185585642142
0,-100.0,0.0,0.19313482426342718,0.10100632340108878,0.045001349347142394,0.011562540136343192
0,-65.0,0.0,0.06881417013696442,0.24572801937112362,0.04294326598866555,0.2508685203040055
0,-47.5,0.0,0.2548257246267213,0.2769211030489854,0.23890816449818952,0.007624234625139136
0,-100.0,0.0,0.11816341404379771,0.0629295091227793,0.012717984138872606,0.1465138556755568
0,-100.0,0.0,0.03522975966159607,0.1153742248899959,0.27092312429274373,0.11474138017161178
0,74.0,1.0,0.10781392540085928,0.2982341442425268,0.12159134822975753,0.1139882692513921
0,-47.5,0.0,0.046428675264988194,0.11327164051190473,0.2212685404456094,0.08173815230739653
0,-100.0,0.0,0.029395138669331942,0.12425821139352478,0.1921336838182775,0.0632493863529368
0,8.0,0.5,0.13347280665339775,0.07415363915186851,0.2663336349399724,0.1987170821802961
0,-100.0,0.0,0.0588641565000758,0.23582038327030339,0.24041761060482886,0.1966187275225432
0,-100.0,0.0,0.1545487006763731,0.25484596896624206,0.11223321641138392,0.01550175830783702
0,74.0,1.0,0.11200226995620456,0.15817119270989355,0.2778800377728206,0.18214820920209315
0,-100.0,0.0,0.29329810290569147,0.26986043753136113,0.0840854015627819,0.023337264403421997
0,-100.0,0.0,0.2600329398734763,0.21562890734971885,0.10004177691675455,0.018951753557499482
0,-47.5,0.0,0.26671135332352375,0.2161952828110021,0.07346138855988744,0.1322345368949919
0,15.5,0.5,0.11541838657549625,0.2523214885143799,0.02825670081326621,0.061510983634282944
0,-100.0,0.0,0.10803824207172287,0.24620688036214716,0.013325887511001088,0.10568006211426274
0,-100.0,0.0,0.2942301703700128,0.07261671084440893,0.16334131882302746,0.21761297279001013
0,74.5,1.0,0.24004661911452824,0.17960827346848243,0.22249008713401705,0.11273027529610381
0,-100.0,0.0,0.17467235877398102,0.04652317415541491,0.18186130770149297,0.12620001365346567
0,-82.5,0.0,0.17266646608797698,0.16923043044902714,0.20194103710748398,0.060709607123905746
0,-47.5,0.0,0.03290163844269419,0.29041918792737015,0.040618327579070114,0.09907013715119095
0,-100.0,0.0,0.16971632423530478,0.19929026289623722,0.13029237537906993,0.12126903754520507
0,-100.0,0.0,0.28758336428485287,0.026819269648025713,0.23097559333492992,0.06518853885447858
0,15.5,0.5,0.1066441778634911,0.23880186815253143,0.2697912838946,0.10189042274436658
0,-100.0,0.0,0.1514495044728907,0.19421590513718692,0.14451900500918394,0.17796661954309734
0,-100.0,0.0,0.20491176065861025,0.15611209892980352,0.09555607346530434,0.0012833913824140896
0,15.5,0.5,0.07846476665241339,0.13389517929572897,0.2714792971302898,0.20054076684460848
0,15.5,0.5,0.11240215203950966,0.26696368078972427,0.23321438063689695,0.2364765178894511
0,-100.0,0.0,0.24102758614207975,0.12166494848907645,0.1740424749197721,0.23652264729251202
0,-47.5,0.0,0.286147780781608,0.21757812560836357,0.06257359030412067,0.09116728833794761
0,-47.5,0.0,0.23037316303838834,0.19368231021981744,0.01794339985847607,0.2763304053959737
0,-82.5,0.0,0.18862888563037924,0.1574141190367854,0.09065669861819843,0.25421872138298696
0,15.5,0.5,0.06718110165972027,0.21739569706331396,0.07605692158540461,0.159695502632157
0,-100.0,0.0,0.28792559058705347,0.24800343852397866,0.25323296784556515,0.29620988457658476
0,-100.0,0.0,0.06761444867621239,0.20709531297081388,0.16240582203042045,0.2455752533501107
1,-95.0,0.0,0.1259735440299302,0.29133424932910373,0.12588684537045336,0.23399282587924142
1,-100.0,0.0,0.15493853066843447,0.2688787204418552,0.26161256944415684,0.018775610809362374
1,-82.5,0.0,0.10999066214022706,0.21793659109783425,0.013153651464907984,0.24307806487470784
