generation,gain_enemy_3,gain_enemy_4,gain_enemy_8,kill_enemy_3,kill_enemy_4,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-72.5,-90.0,23.50000000000024,0.0,0.0,1.0,0.9090528506648097,0.7431842227670068,0.5221640473824894,0.30402094348944453
0,-100.0,-85.44999999999982,-100.0,0.0,0.0,0.0,0.9768343654366212,0.13982920079366346,0.6227082480815538,0.5646049624915648
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.8857823781020308,0.5631781249793946,0.7057561709277713,0.6180195963819667
0,-75.0,-60.0,-90.0,0.0,0.0,0.0,0.14908592074876748,0.6839063932299476,0.5901787291976524,0.2734609742500592
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9507716586031947,0.8884217281776796,0.2095008715609895,0.16410963723265903
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.7399492488104393,0.7027352616458963,0.6662244841624656,0.006320705932277959
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.9935910985511706,0.17522858727101265,0.37645861765177546,0.22961801114945846
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.5369940594592474,0.5285070790572081,0.5847503532582198,0.4944520915683813
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.26396194516011884,0.7889084262579905,0.12483717063577415,0.17915550983714978
0,-40.0,-70.0,-90.0,0.0,0.0,0.0,0.8889191781329628,0.8759684375947453,0.16734969541620226,0.10756119100078532
1,-70.0,-90.0,25.60000000000025,0.0,0.0,1.0,0.3,0.3,0.3,0.3
1,-100.0,-99.59999999999994,-100.0,0.0,0.0,0.0,0.3,0.14319597148846028,0.3,0.3
1,-70.0,-60.0,-90.0,0.0,0.0,0.0,0.13974471724989465,0.3,0.3,0.3
1,-40.0,-70.0,-90.0,0.0,0.0,0.0,0.3,0.3,0.17743563754849506,0.12246711711712965
1,-45.0,-70.0,-90.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2696393575275948
1,-70.0,-90.0,23.50000000000025,0.0,0.0,1.0,0.3,0.3,0.3,0.3
1,-65.0,-60.0,-90.0,0.0,0.0,0.0,0.3,0.3,0.3,0.22450184482878519
1,-70.0,-90.0,27.70000000000026,0.0,0.0,1.0,0.3,0.3,0.3,0.20836772039623708
1,-42.5,-70.0,14.800000000000239,0.0,0.0,1.0,0.3,0.3,0.16995020656555013,0.10673924576340368
1,-75.0,-80.0,23.50000000000024,0.0,0.0,1.0,0.3,0.3,0.3,0.21805558045103343
2,-70.0,-90.0,27.70000000000025,0.0,0.0,1.0,0.26723637937310835,0.3,0.3,0.3
2,-70.0,-90.0,25.60000000000025,0.0,0.0,1.0,0.25304979820951345,0.3,0.3,0.3
2,-72.5,-67.5,25.60000000000025,0.0,0.0,1.0,0.3,0.3,0.3,0.25072617208266357
2,-65.0,-67.5,23.50000000000024,0.0,0.0,1.0,0.24381473076597873,0.3,0.11569894391450321,0.13838174238343023
