generation,gain_enemy_1,gain_enemy_4,gain_enemy_6,kill_enemy_1,kill_enemy_4,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.058264637785327734,0.09952671080204928,0.05908381474362245,0.26620774257043944
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2599713071789199,0.12822685610586856,0.16726784664111316,0.02705855727199471
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.15732061766176494,0.23567699075651521,0.06967719737204134,0.04743185588968062
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.16162079894131834,0.041224904147199336,0.3,0.12431461278661433
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.3,0.2390436813690562,0.15537039782070713,0.3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.06876569921111306,0.02875588009099197,0.011000183281230435,0.0038173943032576174
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.05194991725144646,0.1046082765840231,0.16861247602537704,0.3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.09018116698045756,0.21832656670744782,0.1018468872160826,0.1469169278793654
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.1532567789092267,0.017357490378019834,0.050655173642656044,0.11312758997314314
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.20319586736549797,0.3,0.03732998749002527,0.11015316862107477
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.06787274271625454,0.054282254568680174,0.2739855836028959,0.022295748516526742
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10514234154951274,0.19720089718384926,0.10859220346564075,0.1762597023260448
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10950010290844363,0.25616217766271376,0.19785455854474912,0.08564295135843153
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.1877042630111655,0.16917355061677092,0.3,0.04878490826219019
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2381260825443425,0.04142920243697884,0.3,0.294034469951177
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.28888913487160456,0.001688016708105802,0.13082825968536285,0.14905596506575486
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.15389708376439784,0.0571677377426759,0.02467195310038735,0.19535177682972232
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.019732163007511315,0.2597889818547844,0.11929139953981344,0.03572578592442748
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.26909028619809944,0.058893391785746096,0.29482052811256493,0.3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10214052216137241,0.08550461823111523,0.1589915863793135,0.15843204522974005
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.1255896241411715,0.04866974927810688,0.06993840729773848,0.06541058133489339
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.19987596227594392,0.06730015509335116,0.07951411291786904,0.16941280752188434
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10147555067395361,0.167760192762538,0.034297112506159626,0.1891865212331638
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10340397321837974,0.13243495518956053,0.10306723589643267,0.2106999524527783
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.07306914900146792,0.06849821974133177,0.16430803696503732,0.3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2669514672743828,0.1282569643879537,0.1155153320720911,0.032207433190103586
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.009917239073585871,0.1562951283799026,0.04553235158446717,0.062162402433845396
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.057697986849296966,0.280923116354929,0.16790306666031085,0.09399167130580333
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.3,0.1040698924075604,0.17603951179860597,0.10067949057560473
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.21526879563620938,0.16800662015867698,0.06488208518785489,0.11981167038635995
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.1224947418117007,0.04902132896495939,0.030827570299258793,0.15076114359152873
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.07168635483832224,0.07465343264433758,0.0614494150344591,0.09267071243059238
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10037647602237484,0.23629406284002408,0.16923568360643432,0.0419797121780021
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.22178005025548647,0.2613744139340821,0.0762333518948406,0.06219096125701025
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.10316883378265475,0.1090595310487303,0.28679395340107,0.20761226018523782
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.0691122437517049,0.05107090635474773,0.06208226197806785,0.21233875287528975
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2602685629674136,0.02545037796287372,0.25131608506930453,0.1473521975270644
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.29892979469542535,0.09724947065093417,0.15308832005909678,0.16218064875885696
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.18945400990651382,0.19172853346900687,0.043763666231569825,0.13362667607630455
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.12652100684979706,0.05322920568538654,0.12958142424033056,0.13774481862999377
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.06824541000103049,0.3,0.258008570223675,0.012501133392369175
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.26227688150905215,0.20098333200394294,0.07780107412223387,0.025468427040979874
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.23689457929245744,0.03972006372368098,0.11334029701130503,0.040734147878748884
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.16673502487642622,0.21350630835005374,0.055925236450649056,0.19853885469721502
119,-62.5,-3.249999999999817,-77.5,0.0,0.75,0.0,0.09219678012932375,0.23026845140567184,0.18206221651434426,0.04696561454567894
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.05962554458773602,0.18182685785738106,0.23419186121761706,0.12088232051614896
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2000943716822013,0.05308578633158793,0.15024808791774008,0.2097101888893782
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.17023505463910274,0.07732177913401689,0.13124628612541242,0.3
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.13936965548492913,0.044878265595946695,0.04091089453062871,0.2804597049949946
119,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.29034364940856794,0.1501385227126405,0.04702656667036831,0.3
120,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.06418909344687981,0.10297281154389075,0.05947671819635491,0.3
120,-62.5,-3.249999999999817,-95.0,0.0,0.75,0.0,0.2312279451563131,0.15677276504855817,0.14522930613484014,0.024128425944457865
