1,25,'',74,76,74,76,74,-10.0,74,74,-10.0,74,74,76,74,74,-10.0,76,-10.0,74,76,74,74,74,-10.0,74,-10.0
2,25,'',82,78,70,82,78,82,78,70,70,82,82,82,70,82,78,82,70,78,78,78,82,78,82,82,82
3,25,'',82,82,78,82,78,78,70,70,70,70,78,82,78,78,82,78,70,78,82,70,82,70,82,78,82
4,25,'',82,70,82,70,78,78,82,82,82,82,78,82,78,78,70,70,70,78,82,70,82,78,78,70,70
5,25,'',72,72,82,74,76,74,74,74,76,82,74,74,74,76,74,82,76,74,72,72,72,74,76,72,76
6,25,'',72,82,82,26,72,82,82,82,72,82,82,82,72,74,72,82,72,82,26,82,82,26,82,82,72
7,25,'',-50.0,78,-50.0,8,78,-40.0,8,78,8,78,8,-40.0,-50.0,-50.0,8,78,8,-40.0,8,-40.0,8,8,-50.0,78,-40.0
8,25,'',-10.0,82,-10.0,82,-30.0,-10.0,82,82,-10.0,82,-30.0,82,-10.0,-10.0,-30.0,-30.0,-10.0,82,-30.0,-30.0,82,-30.0,-30.0,82,-10.0
9,25,'',8,78,-40.0,-50.0,78,8,8,8,-50.0,-50.0,-40.0,78,78,-50.0,-40.0,8,-50.0,-50.0,-50.0,-50.0,-40.0,-50.0,78,-50.0,-40.0
10,25,'',70,-30.0,-20.0,70,-20.0,70,78,-30.0,78,-20.0,70,78,78,-20.0,-30.0,-20.0,-20.0,70,-30.0,-30.0,78,70,-20.0,78,70
11,25,'',78,78,-40.0,78,-40.0,-50.0,78,-50.0,-50.0,-40.0,-50.0,-40.0,-50.0,-40.0,-50.0,-50.0,78,8,-40.0,-40.0,-40.0,78,-50.0,78,-50.0
12,25,'',76,78,78,82,82,76,82,82,78,76,78,78,82,78,78,82,76,76,82,78,78,76,78,76,76
13,25,'',-10.0,-40.0,92,-40.0,92,-10.0,92,-40.0,88,88,-40.0,88,92,-10.0,-40.0,92,-10.0,-10.0,-10.0,-40.0,88,-10.0,88,92,92
14,25,'',92,92,88,-10.0,88,92,-10.0,88,88,92,88,-10.0,-10.0,-40.0,-10.0,92,92,-40.0,-40.0,92,88,92,-40.0,-10.0,88
15,25,'',-10.0,-10.0,88,92,-10.0,-40.0,-40.0,92,92,-10.0,-10.0,-40.0,-40.0,-10.0,-40.0,92,88,92,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,88
16,25,'',82,82,-20.0,-20.0,-20.0,-20.0,-10.0,-20.0,-20.0,-20.0,-10.0,82,-20.0,-10.0,-20.0,-10.0,-10.0,-20.0,82,82,-20.0,-20.0,82,-10.0,82
17,25,'',82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
18,25,'',82,82,74,76,74,76,74,74,74,82,74,82,76,74,82,74,82,82,74,76,82,74,76,82,74
19,25,'',88,70,64,88,86,64,64,86,88,70,64,64,64,64,70,64,86,88,64,88,70,70,86,70,70
20,25,'',82,82,78,78,76,76,76,78,76,74,78,82,74,82,82,82,82,82,78,82,76,74,78,74,82
21,25,'',82,82,74,76,82,82,74,74,76,74,76,82,76,76,82,82,82,74,74,76,74,76,82,74,82
22,25,'',-10.0,-10.0,-10.0,82,-10.0,82,-10.0,-10.0,-10.0,82,-10.0,-10.0,82,82,82,-10.0,82,82,-10.0,82,-10.0,82,-10.0,-10.0,82
23,25,'',-10.0,-10.0,-10.0,-10.0,82,-10.0,-10.0,82,-10.0,82,-10.0,82,82,82,82,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,82,-10.0,-10.0
24,25,'',82,88,82,82,82,-10.0,82,88,82,88,82,88,88,88,88,82,88,-10.0,88,82,88,82,82,82,82
