generation,fitness,p_health,e_health,time
1,61.4722447210179,53.80000000000032,30.0,1000
1,2.492244721017869,94.00000000000006,100.0,1000
1,-6.720220155135295,0.0,100.0,829
1,93.55971843439497,83.80000000000015,0.0,124
1,0.0922447210178916,70.00000000000028,100.0,1000
1,-6.115892125483034,0.0,100.0,453
1,20.400129500787163,0.0,70.0,735
1,89.31695410451701,51.40000000000031,0.0,338
1,-2.847755278982108,40.600000000000286,100.0,1000
1,20.35360948515227,0.0,70.0,770
1,-3.8677552789821106,30.40000000000026,100.0,1000
1,-6.20050917404269,0.0,100.0,493
1,21.00603857269343,0.0,70.0,401
1,2.552244721017887,4.600000000000234,90.0,1000
1,-5.847755278982113,10.60000000000023,100.0,1000
1,15.632244721017894,45.4000000000003,80.0,1000
1,-6.77078942390898,0.0,100.0,872
1,56.83248350911166,0.0,30.0,477
1,15.812244721017894,47.2000000000003,80.0,1000
1,89.2377810896236,53.200000000000315,0.0,438
1,48.872244721017886,17.80000000000023,40.0,1000
1,-2.9677552789821084,39.40000000000028,100.0,1000
1,47.681031886253564,0.0,40.0,555
1,-6.754604099487962,0.0,100.0,858
1,11.851531704082353,0.0,80.0,468
1,19.352244721017883,82.60000000000016,80.0,1000
1,0.9922447210178831,79.0000000000002,100.0,1000
1,29.65964069627225,0.0,60.0,567
1,48.03224472101789,9.400000000000231,40.0,1000
1,-6.331501849893691,0.0,100.0,562
1,90.09480889721519,58.60000000000033,0.0,319
1,-5.607755278982114,13.00000000000023,100.0,1000
1,38.476437693850485,0.0,50.0,681
1,41.73224472101789,36.400000000000276,50.0,1000
1,-6.169610732491456,0.0,100.0,478
1,-6.755768921984255,0.0,100.0,859
1,67.23224472101789,21.40000000000024,20.0,1000
1,20.732244721017885,6.400000000000233,70.0,1000
1,1.4122447210178795,83.20000000000016,100.0,1000
1,-1.0477552789821036,58.60000000000033,100.0,1000
1,16.772244721017895,56.800000000000324,80.0,1000
1,-6.124683390894205,0.0,100.0,457
1,-6.561030665896573,0.0,100.0,707
1,-6.26530121273771,0.0,100.0,526
1,-0.867755278982103,60.40000000000033,100.0,1000
1,65.11244742833539,0.0,20.0,980
1,87.25828865951931,41.20000000000029,0.0,955
1,-6.626717749249025,0.0,100.0,755
1,38.66849815010631,0.0,50.0,562
1,1.2922447210178802,82.00000000000017,100.0,1000
1,-6.0867747269123065,0.0,100.0,440
1,-6.470799503782602,0.0,100.0,646
1,-6.590301048196686,0.0,100.0,728
1,-3.8077552789821105,31.000000000000263,100.0,1000
1,-1.1077552789821041,58.00000000000033,100.0,1000
1,-1.4677552789821044,54.40000000000032,100.0,1000
1,2.105329960566518,0.0,90.0,987
1,-6.728628613084702,0.0,100.0,836
1,83.60877853727384,4.0000000000002345,0.0,890
1,74.71960416103981,0.0,10.0,534
1,-0.6277552789821028,62.80000000000034,100.0,1000
1,-2.4877552789821076,44.200000000000294,100.0,1000
1,-6.295266001439646,0.0,100.0,542
1,86.03773325310402,23.200000000000244,0.0,535
1,0.512244721017888,74.20000000000024,100.0,1000
1,-6.368187186350492,0.0,100.0,583
1,3.2122447210178855,11.20000000000023,90.0,1000
1,2.1922447210178717,91.00000000000009,100.0,1000
1,-5.1277552789821135,17.80000000000023,100.0,1000
1,-1.7677552789821052,51.40000000000031,100.0,1000
1,93.31173230259881,86.20000000000013,0.0,202
1,85.54042613132765,19.000000000000234,0.0,578
1,84.2863178201678,4.0000000000002345,0.0,452
1,65.57837773219349,0.0,20.0,615
1,88.69358787142666,54.40000000000032,0.0,851
1,0.15224472101789122,70.60000000000028,100.0,1000
1,6.812244721017894,47.2000000000003,90.0,1000
1,2.8303892675085436,0.0,90.0,478
1,88.01606371931284,40.000000000000284,0.0,397
1,0.5722447210178876,74.80000000000024,100.0,1000
1,-2.0077552789821063,49.000000000000306,100.0,1000
1,-6.267755278982113,6.400000000000233,100.0,1000
1,0.21224472101789083,71.20000000000027,100.0,1000
1,18.452244721017887,73.60000000000025,80.0,1000
1,-4.647755278982112,22.600000000000243,100.0,1000
1,74.717733253104,0.0,10.0,535
1,1.1122447210178823,80.20000000000019,100.0,1000
1,2.492244721017869,94.00000000000006,100.0,1000
1,65.9086901179223,0.0,20.0,442
1,-2.4877552789821076,44.200000000000294,100.0,1000
1,-0.20775527898210555,67.00000000000031,100.0,1000
1,-6.61472560020376,0.0,100.0,746
1,-1.2877552789821038,56.20000000000032,100.0,1000
1,74.66672037186031,0.0,10.0,563
1,2.132244721017873,90.40000000000009,100.0,1000
1,18.21224472101789,71.20000000000027,80.0,1000
1,0.8122447210178851,77.20000000000022,100.0,1000
1,-1.527755278982105,53.80000000000032,100.0,1000
1,-6.1070228877422545,0.0,100.0,449
1,1.3522447210178807,82.60000000000016,100.0,1000
2,-6.6240652277998935,0.0,100.0,753
2,2.5107950686746827,0.0,90.0,658
2,-6.80128303447162,0.0,100.0,899
2,-6.410174881966167,0.0,100.0,608
2,-6.327755278982114,5.800000000000233,100.0,1000
2,-1.2877552789821038,56.20000000000032,100.0,1000
2,-6.606650186198215,0.0,100.0,740
2,-1.8277552789821057,50.80000000000031,100.0,1000
2,-6.646390514847729,0.0,100.0,770
2,-2.067755278982106,48.400000000000304,100.0,1000
2,-6.642486801367256,0.0,100.0,767
2,0.6322447210178872,75.40000000000023,100.0,1000
2,-6.558197802812269,0.0,100.0,705
2,-6.867755278982114,0.40000000000023406,100.0,1000
2,-6.511745329644728,0.0,100.0,673
2,-6.6277552789821135,2.8000000000002343,100.0,1000
2,-6.4425401664681985,0.0,100.0,628
2,-4.527755278982112,23.800000000000246,100.0,1000
2,-6.180016653652572,0.0,100.0,483
2,-2.6677552789821073,42.40000000000029,100.0,1000
2,-6.280395838960195,0.0,100.0,534
2,-6.630683385642372,0.0,100.0,758
2,-6.163314804034641,0.0,100.0,475
2,88.38394224923466,41.80000000000029,0.0,329
2,-2.847755278982108,40.600000000000286,100.0,1000
2,11.66849815010631,0.0,80.0,562
2,-2.187755278982107,47.2000000000003,100.0,1000
2,-6.466144724237619,0.0,100.0,643
2,-6.18826412308259,0.0,100.0,487
2,-6.144185634125646,0.0,100.0,466
2,-6.302618975744905,0.0,100.0,546
2,-6.621405651764134,0.0,100.0,751
2,-6.278521424165844,0.0,100.0,533
2,-6.304448802421981,0.0,100.0,547
2,-6.150602768446279,0.0,100.0,469
2,-6.486160788944089,0.0,100.0,656
2,-6.077642243349034,0.0,100.0,436
2,-6.102558594613569,0.0,100.0,447
2,11.86877351051686,0.0,80.0,460
2,11.670279094477305,0.0,80.0,561
2,11.972244721017887,8.800000000000232,80.0,1000
2,-6.635946555686647,0.0,100.0,762
2,-6.51025834052315,0.0,100.0,672
2,-6.782192056006791,0.0,100.0,882
2,-3.327755278982109,35.800000000000274,100.0,1000
2,-4.167755278982112,27.400000000000254,100.0,1000
2,2.612244721017886,5.200000000000234,90.0,1000
2,89.65092391510481,52.00000000000031,0.0,257
2,-5.727755278982114,11.80000000000023,100.0,1000
2,-4.227755278982111,26.800000000000253,100.0,1000
2,-2.3677552789821066,45.4000000000003,100.0,1000
2,-3.0877552789821086,38.20000000000028,100.0,1000
2,-5.187755278982114,17.20000000000023,100.0,1000
2,-4.467755278982112,24.400000000000247,100.0,1000
2,-2.4877552789821076,44.200000000000294,100.0,1000
2,-6.1903154058531475,0.0,100.0,488
2,-6.387755278982113,5.200000000000234,100.0,1000
2,-6.57507584059962,0.0,100.0,717
2,-0.3877552789821035,65.20000000000033,100.0,1000
2,-1.9477552789821058,49.60000000000031,100.0,1000
2,-6.893656354602635,0.0,100.0,986
2,-1.8277552789821057,50.80000000000031,100.0,1000
2,2.612244721017868,95.20000000000005,100.0,1000
2,0.9922447210178831,79.0000000000002,100.0,1000
2,-1.2877552789821038,56.20000000000032,100.0,1000
2,-3.207755278982109,37.00000000000028,100.0,1000
2,-5.727755278982114,11.80000000000023,100.0,1000
2,-0.9877552789821031,59.20000000000033,100.0,1000
2,-0.4477552789821031,64.60000000000034,100.0,1000
2,93.3750499825186,88.00000000000011,0.0,227
2,-1.8277552789821057,50.80000000000031,100.0,1000
2,-1.1677552789821037,57.400000000000325,100.0,1000
2,0.9922447210178831,79.0000000000002,100.0,1000
2,75.51224472101788,14.200000000000228,10.0,1000
2,-6.714170529909472,0.0,100.0,824
2,-5.607755278982114,13.00000000000023,100.0,1000
2,-1.527755278982105,53.80000000000032,100.0,1000
2,56.36668156671962,0.0,30.0,760
2,2.43224472101787,93.40000000000006,100.0,1000
2,0.7522447210178855,76.60000000000022,100.0,1000
2,-0.8077552789821034,61.000000000000334,100.0,1000
2,-0.3277552789821039,65.80000000000032,100.0,1000
2,-0.6877552789821024,62.20000000000034,100.0,1000
