12500,25,'',-80.0,-80.0,-100.0,-100.0,-60.0,-50.0,-80.0,-40.0,-70.0,-90.0,-50.0,-100.0,-60.0,-90.0,-90.0,-60.0,-40.0,-90.0,-30.0,-60.0,-60.0,-80.0,-50.0,-70.0,-40.0
25000,25,'',-60.0,-60.0,-50.0,-40.0,-80.0,-80.0,-80.0,-70.0,-70.0,-90.0,-50.0,-60.0,-80.0,-70.0,-70.0,-60.0,-70.0,-60.0,-70.0,-60.0,-50.0,-50.0,-70.0,-50.0,-80.0
37500,25,'',-40.0,-50.0,-60.0,-90.0,-80.0,-50.0,-60.0,-30.0,-70.0,-60.0,-60.0,-70.0,-50.0,-60.0,-90.0,-30.0,-80.0,-80.0,-90.0,-60.0,-90.0,-70.0,-60.0,-90.0,-60.0
50000,25,'',-60.0,-50.0,-60.0,-90.0,-70.0,-60.0,-70.0,-60.0,-80.0,-80.0,-50.0,-60.0,-30.0,-70.0,-60.0,-60.0,-60.0,-20.0,-70.0,-70.0,-60.0,-60.0,-70.0,-80.0,-40.0
62500,25,'',-60.0,-70.0,-70.0,-70.0,-80.0,-60.0,-80.0,-60.0,-90.0,-80.0,-90.0,-80.0,-60.0,-60.0,-70.0,-80.0,-70.0,-50.0,-90.0,-90.0,-80.0,-60.0,-70.0,-80.0,-60.0
75000,25,'',-80.0,-60.0,-70.0,-80.0,-70.0,-70.0,-60.0,-70.0,-40.0,-60.0,-70.0,-50.0,-90.0,-70.0,-50.0,-70.0,-60.0,-80.0,-70.0,-80.0,-60.0,-100.0,-80.0,-80.0,-100.0
87500,25,'',-90.0,-90.0,-80.0,-100.0,-100.0,-100.0,-90.0,-100.0,-90.0,-90.0,-70.0,-70.0,-70.0,-90.0,-60.0,-80.0,-100.0,-90.0,-90.0,-90.0,-80.0,-80.0,-80.0,-70.0,-100.0
100000,25,'',-70.0,-100.0,-90.0,-90.0,-80.0,-100.0,-90.0,-90.0,-80.0,-90.0,-90.0,-80.0,-80.0,-70.0,-70.0,-60.0,-90.0,-90.0,-70.0,-70.0,-70.0,-60.0,-80.0,-70.0,-80.0
112500,25,'',-90.0,-70.0,-80.0,-70.0,-80.0,-80.0,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-80.0,-80.0,-80.0,-80.0,-70.0,-90.0,-70.0,-80.0,-80.0,-80.0
125000,25,'',-80.0,-80.0,-90.0,-100.0,-80.0,-90.0,-90.0,-70.0,-60.0,-100.0,-90.0,-80.0,-90.0,-100.0,-100.0,-100.0,-80.0,-80.0,-90.0,-90.0,-70.0,-100.0,-80.0,-80.0,-80.0
137500,25,'',-90.0,-90.0,-90.0,-80.0,-90.0,-80.0,-80.0,-70.0,-90.0,-100.0,-90.0,-80.0,-100.0,-80.0,-90.0,-90.0,-90.0,-60.0,-100.0,-80.0,-90.0,-80.0,-100.0,-80.0,-90.0
