,max_gain_enemy_1,std_max_gain_enemy_1,max_gain_enemy_5,std_max_gain_enemy_5,max_gain_enemy_8,std_max_gain_enemy_8
1,-6.0,64.06246951218786,85.78000000000013,0.9314504817755925,58.84000000000033,9.12000000000002
2,-26.0,4.898979485566356,91.90000000000008,3.343351611781176,64.1200000000003,8.48867480823712
3,-12.4,22.464193731358357,88.7200000000001,4.9535441857320235,77.20000000000022,3.5999999999999654
4,-12.4,21.555509736491967,90.82000000000009,2.4007498828490896,77.20000000000022,3.5999999999999654
5,-10.0,0.0,87.70000000000013,1.374772708486739,70.66000000000027,2.755431000769182
6,38.2,33.911060142673215,93.40000000000006,0.0,78.16000000000021,0.7199999999999932
7,16.0,0.0,95.68000000000005,4.382875768259879,78.4000000000002,0.0
8,80.2,29.4,97.66000000000003,3.6932912151629393,78.4000000000002,0.0
9,19.0,40.45985664828782,96.40000000000005,1.7999999999999872,76.90000000000022,1.374772708486739
10,90.0,0.0,94.18000000000006,2.5603905952021986,80.80000000000018,2.545584412271547
11,82.0,16.0,97.12000000000003,1.439999999999982,81.1600000000002,1.679999999999984
12,82.0,16.0,94.78000000000004,1.1711532777565832,79.0000000000002,4.19999999999996
13,72.0,36.0,96.10000000000005,0.8999999999999915,83.20000000000016,7.804614019924294
14,70.0,40.0,96.58000000000004,1.676782633497841,84.22000000000014,6.275954110730835
15,90.0,0.0,95.74000000000004,1.8869022232219557,83.32000000000014,7.401189093652381
16,90.0,0.0,96.64000000000003,1.9199999999999817,86.6800000000001,3.092183694414001
17,90.0,0.0,96.82000000000002,1.6981166037701727,83.44000000000014,7.64711710385024
18,90.0,0.0,95.26000000000005,3.1799999999999695,75.22000000000023,3.6796195455508363
19,90.0,0.0,96.76000000000003,2.011566553708806,78.5200000000002,2.746925554142277
20,90.0,0.0,95.92000000000003,2.2094343167426196,81.10000000000016,0.8160882305241188
21,90.0,0.0,95.92000000000004,2.680596948442614,79.3600000000002,3.9087593939765224
22,90.0,0.0,97.30000000000003,2.830194339616954,83.20000000000016,1.469693845669893
23,90.0,0.0,97.12000000000003,2.33615068007179,81.52000000000018,0.23999999999999772
24,90.0,0.0,98.02000000000001,2.0444070044880815,82.96000000000015,1.7636326148038715
25,90.0,0.0,97.60000000000002,2.3999999999999773,81.70000000000016,3.7010809231898376
26,90.0,0.0,97.84000000000002,2.166656410232114,84.40000000000016,3.599999999999966
27,90.0,0.0,97.60000000000002,2.3999999999999773,82.48000000000016,2.997599039231203
28,90.0,0.0,98.32000000000002,1.7554486605993143,82.18000000000016,3.0599999999999707
29,90.0,0.0,98.20000000000002,1.9899748742132175,83.62000000000016,2.3399999999999777
30,90.0,0.0,97.60000000000002,2.3999999999999773,83.38000000000015,1.4709180806557376
