generation,gain_enemy_5,gain_enemy_8,kill_enemy_5,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-73.29999999999984,-100.0,0.0,0.0,0.07472838056339448,0.7434170938115173,0.7663613380749092,0.24037273548854476
0,-90.0,15.400000000000247,0.0,1.0,0.16486017215237914,0.6398253739837477,0.3867585879499078,0.708053394663901
0,-100.0,-95.0,0.0,0.0,0.2690760450757044,0.35979511793385444,0.21946760803276577,0.4019001446797502
0,-16.349999999999845,-100.0,0.0,0.0,0.037335913698309575,0.5158229857010282,0.6639037150304457,0.5165619072773683
0,-49.19999999999969,-100.0,0.0,0.0,0.014461198169981815,0.8256359490416963,0.7613750726262719,0.17712431357332092
0,-44.099999999999675,-100.0,0.0,0.0,0.5464942553028275,0.991787322736623,0.2475583264031268,0.1093979894656456
0,-32.999999999999694,-100.0,0.0,0.0,0.8136178008636445,0.28166820401542414,0.6959890108056944,0.3734854566842307
0,-13.699999999999847,-90.59999999999977,0.0,0.0,0.245284611848698,0.3938197545279676,0.999311614079183,0.5755302869526475
0,83.65000000000015,-85.0,1.0,0.0,0.12413292593678693,0.01283936583983658,0.8811101288305219,0.2549004742354938
0,-100.0,-100.0,0.0,0.0,0.925777628145076,0.7131398480962501,0.9612961490627069,0.9334821183680145
0,-34.94999999999969,-100.0,0.0,0.0,0.9413340612888934,0.663312304381357,0.5546740606532929,0.23712879718171742
0,-39.299999999999685,-100.0,0.0,0.0,0.5835289868404203,0.07615902136123387,0.9610246167424266,0.2907489723167077
0,-100.0,-100.0,0.0,0.0,0.4518935175117875,0.9957077556778028,0.07916691410533849,0.18535426869028815
0,-52.949999999999704,-100.0,0.0,0.0,0.19830960876451198,0.2615283383226872,0.18624310978796643,0.5776478841851261
0,-42.14999999999967,-100.0,0.0,0.0,0.12491700929571714,0.8919565329175786,0.680256945589041,0.6298039642279378
0,-100.0,-100.0,0.0,0.0,0.7782215780144719,0.6303179025312913,0.1485922208164806,0.2929458572604825
0,-100.0,-100.0,0.0,0.0,0.13345503899240252,0.044973389890822335,0.9851948127013773,0.3781144444381278
0,-44.99999999999967,-100.0,0.0,0.0,0.010524967215355563,0.795537229003068,0.6889235508918083,0.026033708308862424
0,-100.0,-100.0,0.0,0.0,0.19534917702902077,0.6166789849209912,0.8982706506124076,0.6203213314559056
0,-2.4999999999998757,-90.0,0.5,0.0,0.6466299298959011,0.3127438209193961,0.7611103280036381,0.5896441005500973
0,-13.049999999999876,-100.0,0.0,0.0,0.12749986779773925,0.565278646189473,0.10152790030366499,0.2886897719495791
0,-44.14999999999994,-90.0,0.25,0.0,0.7931963153597681,0.6793709056171021,0.988815937871481,0.16507053196395005
