max,mean,std_dev
30.950143992750462,-1.3268777838287167,8.334129890723247
57.601837298482245,-0.878836364315934,10.741466809527498
31.15581291354141,-1.3398026373133531,8.174507577471893
57.16226955283406,-0.12118832075561944,11.293151320259497
57.16226955283406,2.3094772722052492,12.870630754549662
66.16226955283406,5.8782834934195,14.78409496407913
75.75297592783951,10.764602069908069,17.83501621382009
75.75297592783951,17.06183931796732,19.70029983271208
66.09736666659863,12.269488119689585,18.265158862162767
94.02326625757942,15.176270587092686,19.59476631178279
75.60183729848225,15.99940885862838,20.80018213957887
75.22544845445559,14.725326553133403,18.546509581260054
75.22544845445559,15.455115568095996,18.104456373966645
74.98140678550376,14.696395366611318,19.453597546715766
74.98140678550376,15.41826318201308,20.13053831585732
94.02326625757942,18.150530685640266,23.006011416954284
93.33740496697304,22.284183583440495,22.291445183952916
91.18506424239102,15.66349033714445,22.27001506180263
66.95657488308075,16.012870013688293,18.557706680266268
94.02326625757942,18.14905780227258,21.82403650936492
94.02326625757942,17.165185439041814,23.792075948462273
75.32324619773172,18.693213206765734,19.423828584416793
94.02326625757942,21.156993556866354,24.330824628967342
94.02326625757942,22.63986905990013,22.972297821833678
94.02326625757942,22.504840419850144,25.26543001087802
94.02326625757942,18.791523863421755,27.186775384590696
94.02326625757942,21.41191066691405,25.75767850538521
94.02326625757942,19.273353605018272,24.749132108067066
94.02326625757942,18.872723605955628,24.799643500995025
94.02326625757942,19.471564230325647,26.01049366361581
