generation,gain_enemy_2,gain_enemy_5,gain_enemy_8,kill_enemy_2,kill_enemy_5,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.7544640817862434,0.6415722577801865,0.9790979519325433,0.11526938177418611
0,-100.0,-34.64999999999968,-100.0,0.0,0.0,0.0,0.745044430242831,0.49415868160228904,0.2942925031231606,0.629623964024737
0,-100.0,-48.29999999999969,-100.0,0.0,0.0,0.0,0.7818407584954086,0.945411035155709,0.08415111438877121,0.6916784655663868
0,-100.0,-60.69999999999976,-100.0,0.0,0.0,0.0,0.10628080653194416,0.8630462660583164,0.8601613398981068,0.7491058551073779
0,-95.0,-35.84999999999977,-100.0,0.0,0.0,0.0,0.13092868586980577,0.21284679604964696,0.296497573456606,0.7607430382494272
0,-100.0,-10.649999999999899,-100.0,0.0,0.0,0.0,0.41247836554519246,0.6577322635594256,0.12851733925401398,0.8328401348758454
0,9.0,-56.14999999999994,-60.0,0.5,0.0,0.0,0.9532141872013579,0.7361891580976079,0.31256996700546025,0.9934798796281133
0,-100.0,-41.699999999999676,-100.0,0.0,0.0,0.0,0.22701454722823267,0.5863049098405168,0.9804272669885097,0.7536276102472319
0,-100.0,-39.14999999999968,-100.0,0.0,0.0,0.0,0.4785373376217493,0.694977727441164,0.012755900700627376,0.15408235575962592
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.47856495833030166,0.9726097649465475,0.9649157247848472,0.1553355220223681
0,-100.0,-67.79999999999973,-100.0,0.0,0.0,0.0,0.5468205887863707,0.546696468393651,0.4459778415115485,0.6901470365857844
0,-100.0,-49.94999999999969,-100.0,0.0,0.0,0.0,0.6272184764355201,0.5513777824986665,0.12792292298551367,0.9731318704151769
0,-100.0,-14.999999999999858,-100.0,0.0,0.0,0.0,0.7363270345636413,0.5120617181977278,0.7167122160167864,0.38197237016654983
0,-100.0,-19.349999999999817,-100.0,0.0,0.0,0.0,0.4238336399775854,0.6178825419014142,0.1894830626522851,0.5809125283201846
0,-87.5,-65.49999999999974,-92.5,0.0,0.0,0.0,0.1275067889191137,0.6880801878856218,0.6418762671532755,0.16398490228089835
0,-100.0,-63.29999999999972,-100.0,0.0,0.0,0.0,0.5662445785633012,0.9678030701514433,0.3968221375675215,0.6241502155321761
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.8895309948222109,0.07984414332762713,0.1026761349008396,0.48919316808304447
0,-50.0,-29.29999999999994,-90.0,0.0,0.25,0.0,0.6169027926148968,0.1994027785222463,0.26937476255310144,0.6625208445801297
0,-100.0,-29.849999999999717,-100.0,0.0,0.0,0.0,0.5769987721930642,0.09571116135978497,0.1204383612379657,0.1847913836802092
