1,25,'',-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2,25,'',-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,25,'',-50.0,-30.0,-40.0,-40.0,-30.0,-30.0,-30.0,-40.0,-30.0,-30.0,-30.0,-30.0,-40.0,-50.0,-30.0,-30.0,-40.0,-50.0,-50.0,-30.0,-30.0,-50.0,-50.0,-50.0,-30.0
4,25,'',-40.0,-30.0,-50.0,-50.0,-50.0,-40.0,-30.0,-50.0,-40.0,-50.0,-50.0,-30.0,-30.0,-40.0,-40.0,-50.0,-40.0,-30.0,-30.0,-40.0,-30.0,-30.0,-30.0,-50.0,-40.0
5,25,'',-20.0,-40.0,-30.0,-10.0,-20.0,-20.0,-20.0,-10.0,-30.0,-20.0,-40.0,-20.0,-10.0,-30.0,-40.0,-20.0,-10.0,-40.0,-10.0,-30.0,-10.0,-30.0,-30.0,-10.0,-10.0
6,25,'',-20.0,-20.0,54,-20.0,48,48,-20.0,-20.0,54,-20.0,48,-20.0,54,-20.0,-20.0,54,54,-20.0,54,48,48,48,48,-20.0,54
7,25,'',56,56,56,44,44,44,56,56,-20.0,56,44,56,44,-30.0,-20.0,-30.0,44,56,44,44,56,56,-20.0,44,56
8,25,'',66,62,62,-30.0,-30.0,-30.0,-50.0,-50.0,-30.0,62,-30.0,-30.0,62,62,62,-50.0,-30.0,62,-30.0,-50.0,66,62,62,-30.0,-50.0
9,25,'',66,66,-50.0,62,-30.0,-50.0,62,-50.0,-30.0,62,66,-30.0,66,62,62,-50.0,-30.0,66,62,62,66,-50.0,66,66,-50.0
10,25,'',66,68,68,66,-10.0,66,-20.0,-10.0,68,66,66,-20.0,68,-10.0,68,66,-10.0,-10.0,68,-10.0,-10.0,66,68,-10.0,-10.0
11,25,'',74,-40.0,-40.0,-40.0,-40.0,-30.0,-30.0,74,74,40,-30.0,74,40,40,40,74,74,74,-40.0,40,-30.0,40,-30.0,40,40
12,25,'',40,40,40,74,40,-40.0,40,74,-40.0,-40.0,74,-40.0,74,74,74,-40.0,40,74,-40.0,-40.0,-30.0,-40.0,74,-40.0,74
13,25,'',-30.0,-40.0,82,-30.0,82,-30.0,82,82,-40.0,82,82,82,-30.0,-40.0,-30.0,-50.0,-40.0,82,-30.0,-40.0,-50.0,-50.0,-30.0,-50.0,-30.0
14,25,'',-20.0,74,74,-30.0,74,74,-30.0,-20.0,-30.0,76,-30.0,-20.0,-20.0,74,76,74,-20.0,76,-20.0,76,-20.0,-30.0,-20.0,-30.0,-20.0
15,25,'',-20.0,-30.0,74,-20.0,-20.0,-20.0,-20.0,-30.0,-30.0,74,74,-30.0,-30.0,-20.0,-20.0,74,-30.0,-30.0,74,74,-30.0,76,74,-30.0,74
16,25,'',48,54,54,54,-20.0,-20.0,54,-30.0,-20.0,-30.0,-20.0,-30.0,-30.0,48,-20.0,-30.0,-20.0,54,-20.0,-30.0,-20.0,-30.0,-20.0,54,-30.0
17,25,'',-30.0,64,52,52,-30.0,-30.0,-30.0,-40.0,52,52,64,-40.0,52,-30.0,-40.0,52,-40.0,52,52,64,52,-30.0,52,64,52
18,25,'',-30.0,-60.0,-30.0,-60.0,-30.0,64,-50.0,64,64,64,-30.0,-60.0,-30.0,-60.0,-60.0,-30.0,-50.0,-50.0,-50.0,-50.0,-60.0,-30.0,-50.0,-30.0,-30.0
19,25,'',-30.0,-30.0,64,64,40,40,40,-30.0,-30.0,-30.0,64,40,64,40,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,64,-30.0,-30.0,64,-30.0
20,25,'',-10.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-10.0,-20.0,-20.0,-10.0,60,-10.0,-20.0,-10.0,-20.0,-20.0,-20.0,-10.0,-20.0,-20.0,-20.0,-10.0,-20.0,60
21,25,'',82,82,82,-10.0,82,82,-10.0,82,-10.0,82,82,82,-10.0,82,82,82,82,82,82,-10.0,82,82,82,82,82
22,25,'',82,82,82,82,82,82,82,82,82,-10.0,82,82,82,82,-10.0,-10.0,82,82,82,82,82,82,82,82,82
23,25,'',-10.0,24,24,64,64,62,-10.0,64,24,62,-10.0,62,62,62,62,-10.0,-10.0,24,64,24,24,-10.0,62,24,64
24,25,'',22,22,-20.0,22,64,64,-20.0,22,60,64,22,-20.0,64,60,64,-20.0,22,-20.0,64,-20.0,22,-20.0,64,22,-20.0
25,25,'',-20.0,60,64,-20.0,64,64,64,22,22,22,22,60,60,22,60,-20.0,64,60,60,22,-20.0,64,64,60,60
26,25,'',-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,-20.0,48,-20.0,-20.0,48,48,48,-20.0,48,-20.0,54,-20.0,-20.0,-20.0,-20.0,48,48,54
27,25,'',-20.0,-20.0,54,-20.0,-20.0,54,48,-20.0,-20.0,-20.0,54,54,-20.0,54,-20.0,54,54,48,-20.0,-20.0,54,54,-20.0,-20.0,-20.0
28,25,'',48,48,-20.0,48,54,54,-20.0,54,-20.0,54,48,48,48,-20.0,48,-20.0,-20.0,54,48,-20.0,48,-20.0,54,-20.0,48
29,25,'',6,6,54,-20.0,6,6,-40.0,-40.0,-40.0,-20.0,54,54,54,-20.0,54,-20.0,6,-40.0,-20.0,-20.0,54,-40.0,-40.0,6,54
30,25,'',48,54,48,-20.0,-20.0,-20.0,54,54,-20.0,-20.0,48,54,-20.0,54,54,-20.0,54,-20.0,54,48,54,54,-20.0,-20.0,48
31,25,'',-20.0,-40.0,-40.0,-40.0,-40.0,54,54,48,48,54,-40.0,48,48,-20.0,-40.0,-40.0,54,48,-40.0,-20.0,-40.0,-20.0,-20.0,-20.0,48
32,25,'',-20.0,54,54,-20.0,54,48,-40.0,-20.0,48,54,-40.0,48,54,-20.0,-40.0,-40.0,48,48,48,48,-40.0,-20.0,-40.0,48,-20.0
33,25,'',54,-20.0,-20.0,54,-20.0,-20.0,54,-20.0,48,48,-20.0,48,-20.0,-20.0,48,-20.0,54,48,54,48,-20.0,-20.0,48,54,54
34,25,'',-20.0,48,-20.0,-20.0,-20.0,54,48,-20.0,54,54,54,54,-20.0,-20.0,48,-20.0,-20.0,48,-20.0,-20.0,48,-20.0,-20.0,-20.0,54
35,25,'',54,-20.0,54,-20.0,48,-20.0,48,48,48,54,48,54,-20.0,48,-20.0,54,48,48,48,54,-20.0,48,-20.0,54,54
36,25,'',22,22,62,-10.0,-10.0,-10.0,62,62,62,22,62,64,64,22,22,22,64,64,22,22,22,64,62,22,62
37,25,'',64,62,22,-10.0,64,64,-10.0,64,22,22,64,22,-10.0,64,-10.0,62,64,-10.0,62,62,-10.0,62,-10.0,22,64
38,25,'',48,54,48,-20.0,-30.0,48,54,54,48,48,-30.0,-20.0,-30.0,-30.0,54,48,54,48,48,-20.0,48,-20.0,48,-30.0,54
39,25,'',-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,-20.0,-20.0,48,54,48,48,54,48,-20.0,48,48,48,48,48,54,-20.0,-20.0,-20.0
40,25,'',-20.0,-20.0,-20.0,54,-20.0,48,48,54,54,-20.0,-20.0,-20.0,54,-20.0,-20.0,48,-20.0,-20.0,-20.0,54,54,54,54,48,-20.0
41,25,'',48,54,-20.0,48,54,-20.0,48,-20.0,48,-20.0,-20.0,-20.0,54,54,48,-20.0,-20.0,54,-20.0,-20.0,-20.0,-20.0,48,-20.0,54
42,25,'',-20.0,54,-30.0,54,54,54,-20.0,54,48,54,-20.0,48,-30.0,54,54,48,-20.0,48,54,-20.0,54,-30.0,-30.0,-20.0,48
43,25,'',-20.0,-20.0,54,-20.0,-20.0,-20.0,54,48,-20.0,48,-20.0,48,48,-20.0,-20.0,54,-20.0,48,-20.0,48,-20.0,-20.0,54,48,-20.0
44,25,'',-20.0,48,-20.0,54,48,-20.0,54,54,48,48,-20.0,48,48,48,-20.0,48,-20.0,-20.0,-20.0,48,54,-20.0,54,-20.0,48
45,25,'',-20.0,-30.0,-20.0,48,54,54,48,54,-20.0,48,-20.0,-20.0,-20.0,-20.0,-20.0,54,-30.0,48,-30.0,-20.0,54,48,-30.0,54,-30.0
46,25,'',54,-30.0,-30.0,54,-30.0,-30.0,46,-30.0,-30.0,54,54,-30.0,-30.0,-30.0,46,54,-30.0,54,-30.0,46,46,-30.0,-30.0,-30.0,46
47,25,'',-20.0,48,54,-20.0,54,54,-20.0,48,-20.0,-20.0,-20.0,48,48,-20.0,-20.0,48,-20.0,48,-20.0,-20.0,-20.0,48,54,-20.0,48
48,25,'',54,-20.0,-20.0,48,54,-20.0,-20.0,-20.0,-20.0,-20.0,48,48,54,-20.0,-20.0,48,-20.0,-20.0,48,54,54,-20.0,54,-20.0,-20.0
49,25,'',54,-20.0,-20.0,-20.0,54,-20.0,54,-20.0,48,48,-20.0,48,54,54,48,48,48,48,-20.0,-20.0,-20.0,54,-20.0,54,-20.0
50,25,'',-20.0,-20.0,48,-20.0,48,-20.0,-20.0,54,48,54,-20.0,-20.0,-20.0,48,54,-20.0,-20.0,48,-20.0,-20.0,-20.0,48,54,-20.0,-20.0
51,25,'',54,48,-20.0,48,-20.0,48,48,54,54,48,-20.0,54,48,-20.0,48,48,-20.0,-20.0,-20.0,-20.0,54,-20.0,48,48,48
52,25,'',-20.0,-20.0,-20.0,-20.0,-20.0,48,-20.0,54,-20.0,48,-20.0,54,48,54,48,-20.0,48,-20.0,54,54,-20.0,54,-20.0,54,-20.0
53,25,'',48,48,54,-20.0,54,54,48,48,54,-20.0,54,54,-20.0,-20.0,-20.0,-20.0,48,-20.0,48,48,-20.0,-20.0,-20.0,-20.0,48
54,25,'',-20.0,54,-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,48,-20.0,-20.0,48,-20.0,-20.0,-20.0,-20.0,-20.0,48,48,-20.0,-20.0,48,54,54
55,25,'',-20.0,-20.0,48,-20.0,-20.0,-20.0,48,-20.0,-20.0,48,54,48,48,54,-20.0,-20.0,-20.0,48,-20.0,54,-20.0,-20.0,54,-20.0,48
56,25,'',-20.0,-20.0,54,54,-20.0,-20.0,48,54,-20.0,-20.0,-20.0,54,-20.0,54,-20.0,48,-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,54,-20.0
57,25,'',54,-10.0,48,-10.0,54,-30.0,-30.0,-10.0,48,48,54,-10.0,-30.0,-30.0,-30.0,48,54,-10.0,48,48,54,54,54,-10.0,48
58,25,'',48,-10.0,48,48,-30.0,-30.0,54,48,-30.0,48,-30.0,54,-10.0,-10.0,54,-30.0,-10.0,-30.0,-10.0,54,-10.0,54,54,48,-10.0
59,25,'',54,54,-20.0,-20.0,48,-20.0,-20.0,48,48,54,54,54,-20.0,-20.0,54,-20.0,48,48,-20.0,-20.0,-20.0,48,54,54,48
60,25,'',54,48,48,54,-30.0,48,-30.0,-30.0,54,-30.0,54,48,54,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,54,-30.0,-30.0,-30.0,-30.0,-30.0
61,25,'',48,48,54,-20.0,48,48,48,-20.0,48,-20.0,-20.0,-20.0,48,-20.0,54,-20.0,54,-20.0,54,-20.0,-20.0,48,-20.0,-20.0,54
62,25,'',48,-20.0,-20.0,-20.0,-20.0,54,-20.0,-20.0,48,54,54,-20.0,54,-20.0,54,48,-20.0,48,-20.0,54,54,48,-20.0,-20.0,-20.0
63,25,'',54,48,48,-20.0,-20.0,54,-20.0,-20.0,-20.0,48,48,-20.0,54,-20.0,48,-20.0,54,48,-20.0,48,54,54,48,-20.0,48
64,25,'',48,54,-20.0,-20.0,54,54,-20.0,-20.0,-20.0,54,-20.0,54,54,-20.0,54,-20.0,-20.0,48,54,48,-20.0,-20.0,48,-20.0,-20.0
65,25,'',54,54,54,-20.0,54,54,54,-20.0,48,48,48,-20.0,48,-20.0,48,48,48,48,54,48,-20.0,-20.0,-20.0,-20.0,48
66,25,'',54,48,-20.0,48,-20.0,54,-20.0,-20.0,-20.0,-20.0,54,-20.0,-20.0,48,-20.0,-20.0,-20.0,54,48,48,-20.0,54,54,48,-20.0
67,25,'',54,54,48,48,-20.0,-20.0,-20.0,48,48,54,-20.0,54,54,-20.0,-20.0,-20.0,54,-20.0,-20.0,-20.0,54,48,48,-20.0,54
68,25,'',48,54,54,-20.0,54,48,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,-20.0,48,-20.0,-20.0,-20.0,54,-20.0,48
69,25,'',48,48,54,-20.0,48,48,-20.0,48,-20.0,54,48,48,54,48,54,54,48,-20.0,-20.0,48,54,54,54,-20.0,54
70,25,'',-20.0,-20.0,-20.0,-20.0,-20.0,54,48,-20.0,54,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,48,54,48,48,-20.0,-20.0,-20.0,48,-20.0
