EAuni_max_enemy2,EAuni_maxstd_enemy2,EAuni_avg_enemy2,EAuni_avgstd_enemy2,EAgaus_max_enemy2,EAgaus_maxstd_enemy2,EAgaus_avg_enemy2,EAgaus_avgstd_enemy2,EAuni_max_enemy5,EAuni_maxstd_enemy5,EAuni_avg_enemy5,EAuni_avgstd_enemy5,EAgaus_max_enemy5,EAgaus_maxstd_enemy5,EAgaus_avg_enemy5,EAgaus_avgstd_enemy5,EAuni_max_enemy6,EAuni_maxstd_enemy6,EAuni_avg_enemy6,EAuni_avgstd_enemy6,EAgaus_max_enemy6,EAgaus_maxstd_enemy6,EAgaus_avg_enemy6,EAgaus_avgstd_enemy6,gen
91.51231158020626,1.2929306977409545,11.067358463694202,5.2230680112368235,91.51231158020626,1.2929306977409545,11.067358463694202,5.2230680112368235,91.88283504242882,0.9561946551314694,14.234840468910699,4.5254321351974225,91.95972661375617,0.7938278340818321,13.999980247897605,4.812342508038788,32.210655104142674,10.541682918917145,-2.1951933376209345,1.2014946806461488,32.210655104142674,10.541682918917145,-2.1951933376209345,1.2014946806461488,0.0
91.31354032850739,1.301956478281655,37.05810688822908,12.729190207640784,91.38900248402007,1.3474388285852923,38.25923776896187,8.103838854228774,92.15038533185407,0.9946456876577879,46.17088306772375,10.130346144285104,92.04281201672387,0.7487002661209986,43.592843228120934,12.33259033586727,34.79685682156482,12.846114368984525,4.49006280928049,3.319081866586069,34.93986698760155,10.648389776138185,4.6184261059860034,2.5459321465847156,1.0
91.61625121122998,0.7573746116521887,63.91187642836867,14.163259982768778,91.84895110752305,0.9844402233962328,71.22616472419216,8.788627172094179,92.58849775916681,0.7281497481344056,76.51311648673105,9.33541763228799,91.98602860464618,0.8960488764139488,74.26801883340849,13.106544207837103,38.485630070510474,9.332725957804042,11.386349285767782,3.9700177053252186,36.72331554375379,9.736280709365733,13.12899550177129,2.7671803817682323,2.0
91.87085963602814,0.6110799202244905,81.13855247985492,9.972190550204767,91.84895110752305,0.9844402233962328,87.55078763883144,2.9648752502508104,92.79451778047408,0.6806744868975806,89.1405369295484,2.865837013441019,92.26188229847567,0.7153065839866279,87.9461478286469,3.377745845830476,41.22168632109455,8.722196815667912,18.523337022122927,4.7244615662914065,36.72331554375379,9.736280709365733,21.384423976722697,5.021647167238264,3.0
91.95556710799121,0.6486477402669893,88.90941793384992,3.7398958128504214,92.40257225199014,0.44399475361423996,90.79278486932871,1.5239184595393849,92.98358969346747,0.600480355269696,91.07007442723712,0.9067601598743739,92.59667076564105,0.5579238357731181,90.99398842320873,1.0011306730814746,44.77975476886649,10.690500475709628,24.781236812758983,5.766939096732817,36.726357603423864,9.737125252715114,28.813886680130366,8.45424969207773,4.0
92.17203317134667,0.2952188881145764,90.9287869739137,1.2676659133203165,92.57038907875975,0.5668353728834246,91.4391415836732,0.9991647348931615,93.10382144339756,0.46463638792894374,91.88770142601109,0.8331833942520068,93.03831648671984,0.447448710161535,91.9511858092529,0.5628022725169064,46.5970105743191,9.449846740597993,31.35172430947939,6.175946327329909,40.32994842188627,15.218485504752948,33.2359826734171,8.664921180111675,5.0
92.20103308182524,0.27545167179300983,91.40422418504981,0.8667932516454683,92.57038907875975,0.5668353728834246,91.6838623158188,1.174081372762537,93.29003740609673,0.6387018906839816,92.18073394494067,1.388618735977451,93.08587974317999,0.5728537047673529,91.9754018473989,0.6568625000979986,46.57212857038313,9.446711033167233,36.65877005814626,6.265607048372762,44.693339285318814,15.334511403320226,35.62835007596415,9.360389394535806,6.0
92.20420795165671,0.2725583447419001,91.19646347607765,1.4988310466555619,92.57038907875975,0.5668353728834246,92.14725419648032,0.6533285465484334,93.35735228131122,0.5826752206649356,91.9291978176104,1.102520912188184,93.12487098576054,0.5205786565771007,92.50526276685807,0.5200823066912463,50.160261301659816,9.530590377061772,41.021041870394036,6.566601493971078,47.36866433356135,13.220994609729525,37.57450104833895,9.168284500892135,7.0
92.38155724341291,0.2326712476596872,91.73517825559247,0.7245310247288779,92.80141560013116,0.6192205736689229,92.1288351253573,0.9499031245455296,93.43750468924199,0.4987124490019247,92.75377107110988,0.5336257056280233,93.16856927240096,0.45013255048877476,92.53711104786264,0.6691093480229252,51.887229100222825,7.107244029942552,44.60131656320364,7.8182541504228595,51.11366223647291,17.53799883324909,39.71812724547746,10.49057922232544,8.0
92.50678976201688,0.36611667840169904,91.36643807728731,0.9235488974547853,92.81788166348663,0.6097091180337413,92.52872069968636,0.5581619807859111,93.45058864933787,0.5019756162323298,92.35647419680933,1.6550871359482215,93.1780793280223,0.46410538490192393,92.66760979881671,0.6613163141801257,51.887229100222825,7.107244029942552,46.89360890946201,7.868938647320958,51.11366223647291,17.53799883324909,42.364978819052894,10.618603721204886,9.0
92.56943088672274,0.31161644728015536,92.18776707258112,0.36091236697342516,92.8185461177585,0.610980479183349,92.49397143960132,0.7379534337045659,93.46605517199198,0.48830769669591234,92.88124080309038,0.7100094801415404,93.26233462909197,0.46947795198756886,93.02856023105375,0.5359143257744036,54.574935774059554,9.099866968810128,49.11373758370213,7.9616864808121015,51.11620474630949,17.536320173759503,45.58357774682273,11.738182130535964,10.0
92.69008255941048,0.3505905154903362,91.9183417921389,0.787259653207932,92.8185461177585,0.610980479183349,92.15425195700807,1.4866408166447151,93.50910240888994,0.43233935222754766,92.54994347854037,1.2204650692084562,93.40277913474543,0.4933018979132672,92.82164702277751,0.7171021334933655,54.574935774059554,9.099866968810128,49.41054912170366,7.413514392734688,52.90412561625984,17.176469400395295,47.599128506645364,13.116653577384582,11.0
