EAuni_enemy2,EAgaus_enemy2,EAuni_enemy5,EAgaus_enemy5,EAuni_enemy6,EAgaus_enemy6
76.0,96.0,81.40000000000018,88.12000000000012,-20.0,-20.0
88.0,88.0,83.44000000000015,80.0800000000002,-30.0,60.40000000000033
82.0,82.0,82.36000000000017,49.0800000000002,19.000000000000234,12.40000000000023
78.0,82.0,77.5600000000002,74.80000000000024,-10.0,-40.0
84.0,96.0,80.68000000000018,87.40000000000012,1.000000000000234,40.600000000000286
90.0,92.0,86.20000000000013,86.32000000000014,-10.0,2.200000000000234
84.0,86.0,71.08000000000024,89.8000000000001,-10.0,-20.0
76.0,88.0,80.20000000000019,67.24000000000026,32.80000000000027,-20.0
90.0,94.0,87.88000000000011,84.04000000000015,6.400000000000233,16.60000000000023
78.0,76.0,59.800000000000225,40.8400000000001,-10.0,10.60000000000023
