generation,max_fitness,mean_fitness,stdev_fitness
0,66.08649699436172,-1.0038966978244657,11.622927806657186
1,48.05982874727957,-1.7368001348124902,9.640465415933667
2,66.01354799471557,-1.417986614025909,11.636216300275285
3,93.1959933129232,-0.427620363407325,13.35027575655385
4,65.5606496288999,-2.093435750183599,11.327431790881512
5,48.19486503108351,-2.5783691249042224,9.889464742801756
6,48.22544845445559,-2.5226602358607626,10.176115192856509
7,75.26990021702643,-1.3418667353914093,12.51728073997782
8,57.269900217026425,-2.340889207114757,10.649805717405076
9,57.269900217026425,-1.5827262080425553,11.722709016670617
10,75.26990021702643,-1.9443799752302156,10.660282341831604
11,48.136368824401906,-2.118124581070565,9.976055198654484
12,47.5718947273154,-1.4031502007060168,10.189214060680367
13,75.26990021702643,-0.6002417475444031,14.070731972987456
14,66.17399989261955,-1.3364880293188968,12.053823883518074
15,48.73214184093667,-1.7824335224684105,9.992677217128987
16,39.14206684551654,-1.817018508708315,11.015348915316133
17,58.04417294239874,0.8841352137435592,14.8970639561398
18,75.23480889721516,1.3048578236886166,15.465380982608087
19,47.97897665065047,1.1061225333104596,12.61308620678894
20,86.06775481255198,4.712571809470246,19.508305262577014
21,94.91859563501554,5.94641027595741,19.97437239973501
22,94.78506424239102,11.981655405539756,25.564913821833564
23,94.80704314910979,11.071505264907712,23.77125085590547
24,94.78506424239102,13.912616619578907,27.5244653148892
25,94.78506424239102,19.181113362786043,32.10988201186261
26,94.78506424239102,25.31184879750635,33.060693044313005
27,94.85250552318655,24.625377409696384,31.71982219141723
28,94.85250552318655,29.60789576836794,32.22637325355297
29,94.82385026742617,23.77408013959494,32.35226051856724
