generation,time,memory_usage_MB,cpu_usage_percent
0,0.11588191986083984,10404.890625,20.7
0,0.012369155883789062,10408.625,15.5
0,0.010803937911987305,10411.484375,21.2
0,0.007745027542114258,10197.875,13.9
0,0.06525778770446777,10158.484375,14.2
0,0.010838031768798828,10021.53125,14.4
0,0.044998884201049805,10026.78125,12.8
0,0.0887441635131836,9973.984375,12.7
0,0.045037031173706055,10041.796875,16.6
0,0.013281106948852539,10045.78125,18.9
0,0.008166313171386719,9988.375,15.7
0,0.0341038703918457,10074.625,22.0
0,0.005850076675415039,10004.671875,14.8
0,0.0066089630126953125,10042.515625,13.2
0,0.026437997817993164,10048.5625,14.5
0,0.01641702651977539,10007.046875,14.3
0,0.07993483543395996,10028.671875,19.1
0,0.03935885429382324,10052.53125,19.8
0,0.02261805534362793,10052.9375,17.8
0,0.0073850154876708984,10207.671875,40.8
0,0.029046058654785156,10261.328125,27.6
0,0.021903038024902344,10212.140625,16.6
0,0.035798072814941406,10154.421875,16.0
0,0.08997893333435059,10146.4375,16.1
0,0.021696090698242188,10088.796875,18.8
0,0.012591123580932617,10175.09375,20.5
0,0.004240751266479492,10131.6875,18.3
0,0.0071370601654052734,10123.28125,17.6
0,0.12210702896118164,10273.578125,23.5
0,0.04685211181640625,10181.65625,17.9
0,0.05202484130859375,10169.421875,18.6
0,0.04199695587158203,10210.3125,18.0
0,0.05921792984008789,10163.8125,18.5
0,0.01587200164794922,10197.203125,16.6
0,0.02008223533630371,10278.171875,17.1
0,0.00429987907409668,10162.78125,17.6
0,0.031420230865478516,10143.09375,18.4
0,0.027402877807617188,10133.203125,21.7
0,0.01016998291015625,10222.515625,14.4
0,0.036824941635131836,10223.6875,23.0
0,0.03076004981994629,10190.859375,18.8
0,0.01116490364074707,10160.4375,18.6
0,0.006605625152587891,10172.5,15.6
0,0.023148059844970703,10270.640625,13.3
0,0.05438590049743652,10264.640625,17.9
0,0.10112905502319336,10258.5,16.8
0,0.06915616989135742,10262.890625,16.9
0,0.010263204574584961,10217.78125,22.4
0,0.007090091705322266,10261.390625,52.6
0,0.061326026916503906,10015.34375,23.3
0,0.07010626792907715,10052.15625,21.7
0,0.08041000366210938,10022.6875,19.5
0,0.018703937530517578,10053.453125,19.3
0,0.040741920471191406,10012.65625,23.1
0,0.025562763214111328,10021.171875,17.2
0,0.013083934783935547,10016.28125,45.5
0,0.010475873947143555,9968.265625,34.6
0,0.05905413627624512,9976.25,20.8
0,0.015384912490844727,9972.484375,25.3
