generation,max_fitness,mean_fitness,stdev_fitness
0,56.753893234518436,0.40521495653049,18.78711000203732
1,84.60049965983835,6.208357468966998,22.480284777164393
2,84.60049965983835,6.208357468966998,22.480284777164393
3,84.60049965983835,6.208357468966998,22.480284777164393
4,84.60049965983835,6.208357468966998,22.480284777164393
5,84.60049965983835,6.208357468966998,22.480284777164393
6,84.60049965983835,6.208357468966998,22.480284777164393
7,84.60049965983835,6.208357468966998,22.480284777164393
8,84.60049965983835,6.208357468966998,22.480284777164393
9,84.60049965983835,6.208357468966998,22.480284777164393
