generation,max_fitness,mean_fitness,stdev_fitness
0,30.498741789455273,5.082240810774325,13.933839732824625
1,30.498741789455273,1.6749083844436399,10.782383220130226
2,30.498741789455273,1.6749083844436399,10.782383220130228
3,30.498741789455273,1.6749083844436399,10.782383220130228
4,30.498741789455273,1.6749083844436399,10.782383220130228
5,30.498741789455273,1.6749083844436399,10.782383220130228
6,30.498741789455273,1.6749083844436399,10.782383220130228
7,30.498741789455273,1.6749083844436399,10.782383220130228
8,30.498741789455273,1.6749083844436399,10.782383220130228
9,30.498741789455273,1.6749083844436399,10.782383220130228
