,mean_gain_enemy_1,std_mean_gain_enemy_1,mean_gain_enemy_5,std_mean_gain_enemy_5,mean_gain_enemy_8,std_mean_gain_enemy_8
1,-95.80586111111111,0.2635308814218243,-44.09889753968237,1.0494990902247212,-87.5658253174603,0.9559585567058511
2,-95.26788956466959,0.2270432367586106,-44.954194880952215,0.5499593773145071,-88.25732806080532,0.7457085709140564
3,-95.68951609966211,0.16622095010315907,-45.288073214285546,1.5711873850503677,-87.61515183317229,0.5798376569762926
4,-94.93807737344244,0.320136080449393,-44.23252122028861,1.4577483180962651,-84.73232108178472,0.3441994708147044
5,-91.60209483786005,0.6635649137276307,-41.52443297231447,1.7180721906057306,-68.3277179959752,1.815706154465069
6,-85.4743220981941,0.9433522894466185,-30.794528266728683,1.4495536547837784,-54.37159454992303,1.5176016262875394
7,-81.03353617799709,1.746926830345077,-15.748377485376313,2.037828092463012,-42.25973959417395,4.2971927966019505
8,-78.26579543835385,0.29957212931145916,-6.953162254975969,1.6057033514458445,-40.94281250759856,4.800543626290628
9,-76.93787468757421,0.4606760559442324,2.652406673747179,1.0375814427052397,-38.18045389486201,1.4402412384137273
10,-73.09987665478847,1.482449860143854,7.676135520842339,2.1192034967663362,-38.64556869679396,1.4599929554730091
11,-72.26037457377667,1.6615944005311822,6.694934723740152,2.28565351375036,-37.66283569464149,1.8903961440861354
12,-73.36223215358216,1.1202181184699316,15.703246338805737,2.768127558601372,-34.20212952879401,2.0355873273779617
13,-72.4946263651262,2.7145081665509307,13.976896267268028,1.645363429232931,-34.093454365079275,2.160039199170834
14,-71.29671904761906,1.2547685396860817,22.660299401625345,1.510157236853057,-33.85311260517252,2.7753626431917815
15,-70.92368571428571,1.2335973308555228,18.318519934582604,2.8391395274686846,-34.55915290862281,2.273599759637595
16,-70.43540714285714,0.9090578350376343,23.066587750600895,2.5138384610994926,-34.272648888888796,1.4306808006550489
17,-67.15353809523809,1.5766013465421014,17.309552234258895,2.672217508293636,-30.96798103174593,1.682419291218946
18,-68.14581428571428,2.0818123436606104,22.106178430346723,4.730514537846096,-35.010531746031646,1.3903199372126696
19,-62.950138095238096,3.6719613426330326,22.06541570810794,3.9689828046147166,-32.2995011904761,1.6032853969757312
20,-65.4875134920635,3.1483318538482843,22.28897698412718,1.1701074475807662,-35.88663063492054,3.2236699859064064
21,-65.55899047619047,2.815604666658933,18.678356349206545,3.25451701574324,-29.535166984126874,1.5402300709680201
22,-64.52890238095239,2.6959567533482507,18.125652539682743,6.310479431496555,-32.49223873015863,4.79002151372242
23,-63.83303174603175,2.520198588289067,16.48498507936528,5.325643360967314,-28.89936817460307,3.1232198665341544
24,-63.630447619047615,2.846385136088904,24.34458507936528,2.170645299576844,-30.753054206349113,1.7346187536742503
25,-60.52168888888889,3.7896824264485987,27.628948253968453,1.5152848988318894,-24.071679682539564,2.264198602475204
26,-60.97427857142857,4.272842922421583,33.24367603174624,4.651990238112966,-26.186536746031642,2.8214971046014146
27,-59.51626904761906,4.934555652376434,27.527106825397027,3.547585731407927,-31.593236587301487,2.4188860135986454
28,-58.826535714285704,4.946868991535565,34.67579396825416,6.141979504608958,-30.310124841269737,1.2269106538853165
29,-60.903132539682545,4.182313605230057,28.429579047619246,3.1828187495805063,-30.239146349206248,1.2519425072422736
30,-61.66059603174604,3.2121416510131477,33.02655055555575,2.1175815267096687,-30.06828047619037,1.8355128352023389
