generation,max_fitness,mean_fitness,stdev_fitness
0,30.269900217026425,-3.419473682383916,6.343175476218329
1,48.21310261863329,2.5037304940286766,12.002922299494864
2,75.24109822612272,9.134196659402479,16.776934683012467
3,94.78506424239102,14.226586477161286,19.78205400387108
4,94.78506424239102,17.485933247893723,22.48253905288893
5,94.85250552318655,23.351301180576538,28.09155410009876
6,94.98272016318508,28.161961630893835,32.580676148820935
7,94.91240366476762,40.35211810665291,34.85849458873174
8,94.90624979919323,40.387843057553496,38.72413998815803
9,94.91859563501554,43.15825964794013,39.144990435941516
10,94.97611947915372,57.7523013516922,36.979052550731716
11,94.95014399275047,49.968084562539005,39.09380556484762
12,94.91859563501554,46.82642894703751,40.364709381205046
13,94.92482618476618,55.111384912656874,38.73520219382482
14,94.9001335721758,48.005767867109334,39.68715580855377
15,94.95657488308075,52.71537334716751,39.68719888011341
16,94.98272016318508,53.916590344552006,39.86446161899407
17,94.92482618476618,44.76579839275483,41.1284477455238
18,94.95657488308075,51.78619526232619,41.34301373046298
19,95.02326625757942,52.347470462577036,42.40904067372621
20,94.91859563501554,63.75381105399916,38.18130869966856
21,94.91859563501554,64.9406590502745,36.91781514501882
22,94.94375419465169,55.676586039349,39.269199474170314
23,94.99605369405454,60.61143046007582,39.46965269613332
24,95.01639337829167,55.94214968277146,40.07001267549008
25,94.91859563501554,54.067940458538736,41.3431263803507
26,94.91859563501554,61.6229819324021,37.572741824377566
27,94.92482618476618,54.993696011202886,41.63282522550801
28,94.95657488308075,50.51290106102558,39.62876975986184
29,94.94375419465169,61.439798694804516,38.20700903792894
