max,mean,std_dev
87.34818173229013,5.569185963602482,23.156139545189756
89.30660195700338,4.382773451697583,21.451189699006473
89.36628484395723,4.096057493465047,20.564409490669124
89.36628484395723,6.988584392331488,24.739638226405585
89.96628484395723,19.24463478610759,32.876179155899486
89.90901301948917,36.87547204275329,38.02879849554689
90.37968822339262,40.370886581588046,38.39383101488792
91.39936107665804,28.023154949581233,35.69416412259202
90.44772932632856,44.445147353284355,35.96190313821886
92.20226421822038,40.38434980595627,35.49320811816228
92.93250552318656,44.36039768957324,36.01285325657134
91.67466846406766,47.02845218467076,35.695859837755975
93.78420156294976,43.146501476416255,35.547621049116614
93.78420156294976,45.25583020707665,35.77447613129816
93.78420156294976,36.64649968443764,35.191336715113366
93.78420156294976,35.30673052702552,34.33303833967705
93.78420156294976,41.55773971302911,33.813731908504366
91.70157804100165,31.107135010792334,35.96417045267956
91.70157804100165,37.81117275851707,35.331482963548304
92.66389959779559,40.078384840566216,38.161865697324615
92.66389959779559,36.48213411809798,36.75292738806415
93.02835394814497,39.80139322467755,36.56240233126264
92.66389959779559,42.2556368604667,35.5500161559409
93.02835394814497,43.44404631797079,38.12786506745344
93.02835394814497,47.3658350700512,38.631784753981876
90.85968822339261,44.543000401844914,36.04378735750613
90.85968822339261,43.05974827629534,36.85513333542787
91.64234767677738,48.115369476283725,38.776985741309524
91.73212383121044,54.412322815492445,39.823855326969586
92.40322890233345,38.477050245130044,40.519716276541274
