generation,max_fitness,mean_fitness,stdev_fitness
0,48.182888840036796,-1.9528109571724515,9.294797530815565
1,48.24742736117437,3.9400104966734246,14.198952650469487
2,66.75297592783951,9.688827477060794,16.780329074668117
3,75.75297592783951,13.842358073527837,18.917853303617978
4,94.02326625757942,22.132621917009153,23.787107261623323
5,94.02326625757942,24.28878894730235,29.14609796312102
6,94.02326625757942,28.614230172753913,34.13537880337516
7,94.02326625757942,41.10909245017856,35.412984425008574
8,94.02326625757942,49.55987303441539,37.265400842106864
9,94.02326625757942,50.456241238640324,40.03421587423628
10,94.02326625757942,56.830557657697284,36.171670102480356
11,94.02326625757942,56.15907323788664,38.91595762098976
12,94.02326625757942,55.83641984143204,37.81629077852945
13,94.02326625757942,50.07560894649221,41.42869142573757
14,94.02326625757942,60.80743499229537,37.96969375069443
15,94.02326625757942,59.7941555359662,39.36436148777245
16,94.02326625757942,57.842957450617654,38.47555507961182
17,94.02326625757942,60.226545418540184,35.64978090640633
18,94.02326625757942,58.89375829276399,40.41200472993267
19,94.02326625757942,58.09670328855758,41.00605880723013
20,94.02326625757942,58.96916670714959,40.67714512473932
21,94.02326625757942,58.005677399006586,38.25368272286258
22,94.02326625757942,62.854454104799196,35.34824967261836
23,94.02326625757942,56.70644066677462,40.23581168457954
24,94.02326625757942,58.98140315266441,39.43735902131297
25,94.02326625757942,55.014585745846816,40.77448572021239
26,94.02326625757942,58.219805963157526,39.73035699298529
27,94.02326625757942,52.73097622621697,42.16921138504897
28,94.02326625757942,53.54415665236487,40.90988162790201
29,94.02326625757942,59.03511904989449,40.3097276819949
