generation,Max Fitness Mean,Max Fitness Std,Mean Fitness Mean,Mean Fitness Std
0,77.54647269022425,11.156786843744007,6.776707155436062,2.669830485276295
1,82.87684855995563,9.650663620986736,6.084333128390521,1.141489919478969
2,82.34134607320189,9.601280612116248,6.421706723977496,1.1396288883329162
3,84.09743851526117,7.465162272391865,6.037686612046802,1.718684368886295
4,73.95452137663885,6.478887431517947,6.018391304157953,0.8277311025991555
5,80.90212542831293,8.320671258693444,6.575817305118029,1.366133234200612
6,83.43471749855533,8.913203013463876,7.082692713464563,1.213693699961651
7,81.13783825733978,6.319492984235879,7.092877115882184,1.5445986102395273
8,83.60489374089943,5.873806828530131,6.981409642875663,1.5267169148399318
9,83.99958397404083,6.273094304886576,6.808716825510042,1.4539812203769589
10,81.05769502821599,9.588743922056333,7.158652446292429,2.2194379861863873
11,79.80590168634066,8.291002415491574,6.962526687832293,1.6593824020969181
12,74.36025093075219,8.681417675459413,6.554862833386987,1.8678990650146523
13,70.52686419149146,8.959638936992418,6.7553711499228015,1.1803983703266567
14,78.71818091576296,9.943984816984239,7.093973583700946,2.102708253913751
15,76.90290115835425,7.477805388726667,9.24250319136892,1.5726637731153559
16,78.8126250985068,8.084469343315611,9.966939421678452,2.3323851488116816
17,78.95538186319799,8.28084141863661,11.545196506850008,2.440643106908156
18,83.27565522590173,8.140507286873577,14.549946552057282,2.583093495448394
19,85.22776354906068,5.499788192046133,17.667498196260297,3.505433714890788
20,83.64167499421458,8.555008037655004,20.548502759535566,4.660903947508416
21,83.80648473076853,8.520202080710199,24.13164303550736,4.531671877095853
22,88.7359601084342,2.0724947094829966,28.314484632375184,3.92529748675546
23,87.89626927530244,4.494592253391581,32.151266770030446,4.63374129873396
24,87.82113399931264,4.883976586887591,34.17708360234202,4.789435637111831
25,88.84597494027156,1.9973160536337478,35.849342015768165,5.098260406079473
26,88.18245021633854,2.143969817042868,39.524443310169644,4.1591232343821085
27,86.84934039543256,4.455525370980682,39.967362182205,5.210687846544655
28,87.53241689192268,4.283881989103738,41.210990936897005,3.9751354845851457
29,89.26569508102126,2.3713332940263725,44.205219028299,4.389596249355258
