generation,gain_enemy_1,kill_enemy_1,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,0.0,0.18049439320054894,0.5163956932221964,0.6406145672353714,0.9938915211724698
0,-100.0,0.0,0.5846720449448075,0.5604671551483899,0.2704197422858896,0.17797322562031792
0,-100.0,0.0,0.4222949756416995,0.2804456343059847,0.27056251354474914,0.05508045074883805
0,-92.5,0.0,0.7028119265870328,0.8854687406460222,0.6065978927406467,0.540514264171664
0,-100.0,0.0,0.6615552899106016,0.6744984248952393,0.4643544044757856,0.5649470602553449
0,-100.0,0.0,0.8129838312022406,0.9114865427347507,0.27620665855572835,0.44746519788376116
0,-100.0,0.0,0.41668542904782035,0.7006330553779102,0.4640631812968964,0.9297032926381777
0,-100.0,0.0,0.8249904833515693,0.49229597425384275,0.1877632023741418,0.5044030525377181
0,-100.0,0.0,0.006231873194256998,0.49387833155606964,0.09311830279924516,0.20961001971926418
0,-100.0,0.0,0.9235935574627986,0.9503213298141031,0.1286567759559577,0.23099958001897403
0,-100.0,0.0,0.9438799425084876,0.05943541274683739,0.007806384700361435,0.1630486589248894
0,-100.0,0.0,0.141155782823164,0.12537761470217956,0.268652562043288,0.08802621496429852
0,-100.0,0.0,0.7595714179583974,0.5648929044699836,0.1372077860549369,0.667938795379087
0,-100.0,0.0,0.46064933091038285,0.6478686046554598,0.7398744787154362,0.9639029392384626
0,-72.5,0.0,0.9694745238834985,0.7428774598838928,0.7147761345539791,0.8764528204568113
0,-100.0,0.0,0.8787486827224582,0.7399338776185728,0.9071152381069431,0.46454592687246876
0,-100.0,0.0,0.7090852451138043,0.21905950996266554,0.9854027552245872,0.48924608350832
0,-100.0,0.0,0.5748212111271197,0.11115741617391806,0.9962005279541792,0.6498153932148683
0,-90.0,0.0,0.25188763273444037,0.15978767239302394,0.3813812999353682,0.19625312151269692
0,-82.5,0.0,0.8383842429554192,0.5071936830796021,0.1594041000803489,0.16710830883741656
0,-100.0,0.0,0.360382996468549,0.8622857185829282,0.656682157290617,0.7353249806283645
0,-100.0,0.0,0.9176895011883018,0.12676123947965257,0.9410700446194652,0.9127209309424116
0,-100.0,0.0,0.6489429251078577,0.2436005351128574,0.3029012383235975,0.1811270053234385
0,-100.0,0.0,0.3383173288091239,0.17666598320809512,0.6458938732935086,0.2934155477738295
0,-100.0,0.0,0.17375779582328488,0.21583096548799818,0.03443947607030273,0.5719992630369435
0,-100.0,0.0,0.8783233284724348,0.2590772897083531,0.9737128843345216,0.49706863156466563
0,-100.0,0.0,0.6278013659929966,0.6289120790335777,0.9846244599031151,0.11688852322524335
0,-85.0,0.0,0.10924350246115555,0.08053990345600703,0.8242067308083293,0.8818904419753527
0,-100.0,0.0,0.4670602339994404,0.1694581509089429,0.18645687745416928,0.94364143471868
0,-100.0,0.0,0.9444429250458177,0.3028971425742678,0.4513780954071952,0.8368535097127139
0,-100.0,0.0,0.3473914694208574,0.28487270347413085,0.18235981029212578,0.8083576666814594
